reportdate,api_wellno,fileno,company,wellname,quarter,section,township,range,county,fieldname,pool,oil,wtr,days,runs,gas,gassold,flared,lat,long,county_name,year,month,days_in_month,oil_per_day,gas_per_day,water_per_day,gassold_per_day,flared_per_day,gas_boe,gas_boe_per_day,total_boed,total_depth,kelly_bushing_elevation,true_vertical_depth,drilling_floor_elevation,lateral_length,ground_level_evelation
2015-05,33023008590000,23323,HUNT OIL COMPANY,ALEXANDRIA   1-33-28HTF,LOT3,1.0,160.0,101.0,DIV,ALEXANDRIA,BAKKEN,1147.0,1854.0,28.0,1009,1247.0,0,584.0,48.7188933269934,-103.677966532666,Divide,2015,5,31,37.0,40.225806451612904,59.806451612903224,0.0,18.838709677419356,207.83333333333334,6.704301075268817,43.704301075268816,,,,,,
2015-05,33023012220000,28507,HUNT OIL COMPANY,ALEXANDRIA   161-100-21-16H-1,SWSE,21.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,6386.0,8133.0,31.0,6129,3663.0,0,3370.0,48.7501126172812,-103.668312885958,Divide,2015,5,31,206.0,118.16129032258064,262.35483870967744,0.0,108.70967741935483,610.5,19.693548387096772,225.69354838709677,,,,,,
2015-05,33023012200000,28501,HUNT OIL COMPANY,ALEXANDRIA   161-100-22-15H-1,SESW,22.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,2847.0,3415.0,19.0,2916,1580.0,0,1113.0,48.750590754001,-103.65380316394,Divide,2015,5,31,91.83870967741936,50.96774193548387,110.16129032258064,0.0,35.903225806451616,263.3333333333333,8.494623655913978,100.33333333333334,,,,,,
2015-05,33023010970000,26256,HUNT OIL COMPANY,ALEXANDRIA   161-100-24-13H-1,SESW,24.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,3759.0,7653.0,31.0,3852,3023.0,1391,1156.0,48.7501792904821,-103.609886335862,Divide,2015,5,31,121.25806451612904,97.51612903225806,246.8709677419355,44.87096774193548,37.29032258064516,503.8333333333333,16.252688172043012,137.51075268817206,,,,,,
2015-05,33023011690000,27725,HUNT OIL COMPANY,ALEXANDRIA   161-100-32-29H-1,SWSE,32.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,2943.0,4523.0,31.0,2710,2450.0,0,1974.0,48.7210664252787,-103.691812040655,Divide,2015,5,31,94.93548387096774,79.03225806451613,145.90322580645162,0.0,63.67741935483871,408.3333333333333,13.172043010752688,108.10752688172043,,,,,,
2015-05,33023010160000,25096,HUNT OIL COMPANY,ALEXANDRIA  1-26-35H,NENW,26.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,2523.0,4343.0,31.0,2357,2892.0,2098,318.0,48.7489650583043,-103.631885407043,Divide,2015,5,31,81.38709677419355,93.29032258064517,140.09677419354838,67.6774193548387,10.258064516129032,482.0,15.548387096774194,96.93548387096774,,,,,,
2015-05,33023011820000,27921,HUNT OIL COMPANY,ALEXANDRIA  161-100-17-20H-1,NENW,17.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,5810.0,6458.0,31.0,6053,4244.0,0,3479.0,48.7781166992351,-103.698443446601,Divide,2015,5,31,187.41935483870967,136.90322580645162,208.32258064516128,0.0,112.2258064516129,707.3333333333334,22.817204301075268,210.23655913978493,,,,,,
2015-05,33023010470000,25666,HUNT OIL COMPANY,ALEXANDRIA  161-100-18-19H-1,NENW,18.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,2357.0,4236.0,31.0,2234,1060.0,0,584.0,48.777065448652,-103.718390659113,Divide,2015,5,31,76.03225806451613,34.193548387096776,136.6451612903226,0.0,18.838709677419356,176.66666666666666,5.698924731182796,81.73118279569893,,,,,,
2015-05,33023010980000,26259,HUNT OIL COMPANY,ALEXANDRIA  161-100-23-14H-1,NENW,26.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,4503.0,6942.0,31.0,4548,3662.0,1551,1635.0,48.7488408486698,-103.632319947206,Divide,2015,5,31,145.25806451612902,118.12903225806451,223.93548387096774,50.03225806451613,52.74193548387097,610.3333333333334,19.688172043010752,164.94623655913978,,,,,,
2015-05,33023012210000,28502,HUNT OIL COMPANY,ALEXANDRIA  161-100-27-34H-1,SESW,22.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,4832.0,6203.0,31.0,4476,2877.0,0,2040.0,48.7505901546712,-103.654238676889,Divide,2015,5,31,155.8709677419355,92.80645161290323,200.09677419354838,0.0,65.80645161290323,479.5,15.467741935483872,171.33870967741936,,,,,,
